LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
1,0,0,0,616,0,0,998
1,0,0,0,3137,0,0,2436
1,0,0,1,3105,1040,0,203
1,0,0,1,897,2067,0,341
1,0,0,0,6940,3633,0,884
1,0,0,1,32530,4306,0,3578
2,0,0,1212,33962,7779,0,2412
2,0,0,778,31369,9241,0,1891
2,0,0,313,40061,9979,0,1245
2,0,0,520,29790,16496,0,163
2,0,0,746,11959,25716,0,85
0,0,0,949,4702,27452,0,40
0,0,0,850,4485,27036,0,32
0,0,0,963,5614,22304,0,35
0,0,0,1053,5079,7857,0,31
0,0,0,974,5023,19683,0,30
0,0,0,1021,4383,24727,0,37
0,0,0,1112,3234,27138,0,38
2,0,0,1041,11845,26825,0,56
2,0,0,1022,14080,26825,0,123
0,0,0,819,8337,25566,0,53
0,0,0,723,3183,23428,0,65
0,0,0,968,3143,23377,0,20
0,0,0,855,5066,14927,0,40
0,0,0,643,5701,13995,0,46
0,0,0,725,4170,9938,0,53
0,0,0,943,3319,16395,0,62
0,0,0,1032,3644,17222,0,54
0,0,0,889,3759,15415,0,27
0,0,0,857,3028,14820,0,28
0,0,0,1038,2624,6253,0,34
0,0,0,1021,3379,15418,0,78
0,0,0,792,3195,16807,0,66
0,0,0,996,2679,24407,0,44
0,0,0,1040,3172,24140,0,35
0,0,0,878,2836,25786,0,48
0,0,0,870,3008,23916,0,31
0,0,0,1011,3290,23976,0,54
0,0,0,1070,7982,25092,0,117
0,0,0,1100,9467,25092,0,118
0,0,0,932,7672,21670,0,160
0,0,0,1051,9390,20099,0,447
2,0,0,1071,10989,11094,0,90
0,0,0,712,8515,7357,0,73
0,0,0,1238,5510,7357,0,218
0,0,0,1129,9357,8862,0,429
0,0,0,1154,9070,7898,0,67
0,0,0,1116,4492,4428,0,44
0,0,0,1122,6301,2573,0,45
0,0,0,1020,8301,6976,0,183
0,0,0,1168,7662,9069,0,116
0,0,0,1249,9661,15698,0,133
0,0,0,1164,9074,15698,0,70
0,0,0,1156,4099,14071,0,26
0,0,0,1000,2703,13267,0,59
0,0,0,1108,2501,8289,0,41
0,0,0,1138,2743,5464,0,52
0,0,0,1155,2541,5194,0,55
0,0,0,1156,2385,6805,0,37
0,0,0,1162,2579,6919,0,74
0,0,0,1172,2410,8837,0,44
0,0,0,1164,2358,8275,0,36
0,0,0,1172,2663,6318,0,78
0,0,0,1044,2438,5516,0,46
0,0,0,1025,2376,2665,0,36
0,0,0,961,2848,3762,0,19
0,0,0,894,3823,7150,0,71
0,74,16.7,815,4047,8013,0,75
