LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
1,0,0,1,35,0,0,18
1,0,0,1,52,0,0,1
1,0,0,0,53,23,0,1
1,0,0,1,49,72,0,1
1,0,0,1,54,72,0,2
1,0,0,0,52,77,0,4
1,0,0,1,42,77,0,1
1,0,0,0,46,34,0,1
1,0,0,1,50,32,0,1
1,0,0,0,49,26,0,2
1,0,0,1,50,15,0,1
1,0,0,0,52,9,0,0
1,0,0,0,52,12,0,1
1,0,0,1,62,9,0,1
1,0,0,1,145,3,0,24
1,0,0,2,140,9,0,3
1,0,0,0,48,25,0,1
1,0,0,1,52,26,0,0
1,0,0,0,58,38,0,2
1,0,0,0,52,38,0,0
1,0,0,0,50,18,0,1
1,0,0,0,56,17,0,1
1,0,0,0,56,3,0,0
1,0,0,0,58,3,0,1
1,0,0,1,59,3,0,1
1,0,0,1,52,6,0,1
1,0,0,0,44,6,0,1
1,0,0,0,46,4,0,1
1,0,0,1,47,7,0,1
1,0,0,1,43,7,0,1
1,0,0,1,51,4,0,0
1,0,0,1,54,1,0,1
1,0,0,0,54,2,0,2
1,0,0,1,54,2,0,0
1,0,0,0,56,2,0,1
1,0,0,0,55,2,0,1
1,0,0,0,53,1,0,1
1,0,0,1,52,1,0,1
1,0,0,0,46,2,0,1
1,0,0,1,1061,2,0,25
1,0,0,0,6477,75,0,191
1,0,0,0,6429,495,0,38
1,0,0,0,693,760,0,16
1,0,0,0,709,2066,0,233
1,0,0,1,759,2215,0,99
1,0,0,0,472,2586,0,354
1,0,0,1,479,2449,0,98
1,0,0,1,324,1632,0,1
1,0,0,1,52,1188,0,38
1,0,0,1,73,458,0,13
1,0,0,0,407,404,0,52
1,0,0,0,653,422,0,32
1,0,0,1,672,362,0,27
1,0,0,0,431,421,0,26
1,0,0,0,110,542,0,12
1,0,0,0,162,763,0,21
1,0,0,0,157,763,0,9
1,0,0,1,105,596,0,39
1,0,0,0,853,570,0,26
1,0,0,1,1011,246,0,50
1,0,0,0,806,516,0,215
1,0,0,0,601,1000,0,62
1,0,0,1,162,1165,0,154
1,0,0,0,126,1422,0,13
1,0,0,1,82,1422,0,2
1,0,0,0,32,872,0,3
1,0,0,0,35,869,0,3
1,0,0,1,35,270,0,3
1,0,0,0,33,240,0,2
1,0,0,1,30,203,0,2
1,0,0,1,27,115,0,1
1,0,0,0,28,54,0,2
1,0,0,1,31,72,0,2
1,0,0,0,30,53,0,4
1,0,0,1,33,19,0,3
1,0,0,1,32,16,0,2
1,0,0,1,35,16,0,1
1,0,0,1,35,9,0,2
1,0,0,0,32,3,0,2
1,0,0,1,32,6,0,3
1,0,0,1,31,7,0,3
1,0,0,1,32,5,0,3
1,0,0,0,32,7,0,1
1,0,0,0,33,6,0,2
